site_ID,grassland_type,restoration_measure,gen_sp,species_richness,cover_%,shannon_index,depth,pH
BK_TG_03,B,TG,Arrhenatherum_elatius,18,37,2.132086567029844,0,6.89
BK_TG_03,B,TG,Arrhenatherum_elatius,18,37,2.132086567029844,1,7.67
BK_TG_03,B,TG,Myosotis_scorpioides,18,2,2.132086567029844,0,6.89
BK_TG_03,B,TG,Myosotis_scorpioides,18,2,2.132086567029844,1,7.67
BK_TG_04,B,TG,Cynosurus_cristatus,19,19,2.192210516107936,1,8.06
BK_TG_04,B,TG,Cynosurus_cristatus,19,19,2.192210516107936,0,7.59
BK_TG_04,B,TG,Holcus_lanatus,19,37,2.192210516107936,1,8.06
BK_TG_04,B,TG,Holcus_lanatus,19,37,2.192210516107936,0,7.59
BK_TG_04,B,TG,Lotus_pedunculatus,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Lotus_pedunculatus,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Rhinanthus_angustifolius,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Rhinanthus_angustifolius,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Salix_cinerea,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Salix_cinerea,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Dactylorhiza_praetermissa,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Dactylorhiza_praetermissa,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Anthoxanthum_odoratum,19,19,2.192210516107936,1,8.06
BK_TG_04,B,TG,Anthoxanthum_odoratum,19,19,2.192210516107936,0,7.59
BK_TG_04,B,TG,Trifolium_pratense,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Trifolium_pratense,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Lythrum_salicaria,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Lythrum_salicaria,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Silene_floscuculi,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Silene_floscuculi,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Cerastium_fontanum,19,2,2.192210516107936,1,8.06
BK_TG_04,B,TG,Cerastium_fontanum,19,2,2.192210516107936,0,7.59
BK_TG_04,B,TG,Juncus_acutiflorus,19,37,2.192210516107936,1,8.06
